 Lucia Hwong Gordon, Muffie Potter Aston,
Allegra Rumbough,  Christine Schott,
Allegra Rumbough,  Stephanie Lineva,
Allegra Rumbough,  Cole Rumbough,
Joy Marks,  Gregory Speck,
Joy Marks,  Victor de Souza,
Joy Marks,  Cole Rumbough,
 Gregory Speck, Joy Marks,
Scott Moses,  Pamela O'Connor,
Scott Moses,  Nick Ryan,
Jigar Shah,  Jen Bawden,
Jigar Shah,  Hartley duPont,
 Jen Bawden, Jigar Shah,
Maureen Klinsky,  William Allen,
Maureen Klinsky,  Lloyd Brown,
Ana Oliveira,  Diane Sawyer,
Ana Oliveira,  Diana Taylor,
Ana Oliveira,  Hillary Rodham Clinton,
 Diane Sawyer, Ana Oliveira,
 Hillary Rodham Clinton, Ana Oliveira,
 Annika Connor, Lucia Wong Gordon,
Elizabeth Stribling,  Patricia Shiah,
Elizabeth Stribling,  Cece Black,
 Cece Black, Elizabeth Stribling,
Leah Rumbough,  Allegra Rumbough,
Leah Rumbough,  Whitney Schott,
Leah Rumbough,  Christine Schott,
Leah Rumbough,  Stephanie Lineva,
Leah Rumbough,  Kiera Rumbough,
Leah Rumbough,  Pamela O'Connor,
Leah Rumbough,  Scott Moses,
Leah Rumbough,  Nick Ryan,
 Kiera Rumbough, Leah Rumbough,
Lucia Wong Gordon,  Peter Selse,
Lucia Wong Gordon,  Annika Connor,
 Peter Selse, Lucia Wong Gordon,
JBFCS President–Elect,  JBFCS Board,
JBFCS President–Elect,  Anthony E. Mann,
Kamie Lightburn,  Alison Minton,
Kamie Lightburn,  Jieun Wax,
Kamie Lightburn,  Diana Taylor,
Kamie Lightburn,  Yaz Hernandez,
Kamie Lightburn,  Alexandra Lebenthal,
Kamie Lightburn,  Eleanora Kennedy,
Kamie Lightburn,  Elizabeth Stribling,
Katharina Otto-Bernstein,  Liliana Cavendish,
Katharina Otto-Bernstein,  Felicia Taylor,
Kwanza Butler,  Ana Oliveira,
Kwanza Butler,  Jennifer Giacobbe,
 Jennifer Giacobbe, Kwanza Butler,
Cole Rumbough,  Leah Rumbough,
Cole Rumbough,  Pamela O'Connor,
Cole Rumbough,  Scott Moses,
Cole Rumbough,  Nick Ryan,
Cole Rumbough,  Lucia Hwong Gordon,
Alexandra Lebenthal,  Frederick Anderson,
Alexandra Lebenthal,  Somers Farkas,
Alexandra Lebenthal,  Yaz Hernandez,
Alexandra Lebenthal,  Hilary Geary Ross,
Alexandra Lebenthal,  Muffie Potter Aston,
Alexandra Lebenthal,  Chele Chiavacci,
Alexandra Lebenthal,  Felicia Taylor,
Alexandra Lebenthal,  Jieun Wax,
Alexandra Lebenthal,  Chiu Ti Jansen,
Alexandra Lebenthal,  Dayssi Olarte de Kanavos,
Julie Ratner,  Robert Chaloner,
Julie Ratner,  Jane Pontarelli,
 Robert Chaloner, Julie Ratner,
Penny Grant,  Joy Marks,
Penny Grant,  Patricia Shiah,
Penny Grant,  Victor de Souza,
Ginny Day,  Helen LaKelly Hunt,
Ginny Day,  Ana Oliveira,
CeCe Black,  Elizabeth Stribling,
CeCe Black,  Ursula Lowerre,
CeCe Black,  Ann Van Ness,
CeCe Black,  Kazie Harvey,
CeCe Black,  Deborah Royce,
CeCe Black,  Cheri Kaufman,
CeCe Black,  Bill Van Ness,
CeCe Black,  Patricia Cossutta,
CeCe Black,  Rochelle Ohrstrom,
CeCe Black,  Patricia Shiah,
 Ursula Lowerre, CeCe Black,
Patricia Shiah,  Lucia Hwong Gordon,
Patricia Shiah,  Audrey Gruss,
Patricia Shiah,  Patricia Cossutta,
Patricia Shiah,  Rochelle Ohrstrom,
Patricia Shiah,  Chiu-Ti Jansen,
Patricia Shiah,  Craig Dix,
 Craig Dix, Patricia Shiah,
